W 39 St,16,36
W 40 St,37,17
W 40 St,17,37
W 41 St,38,18
W 41 St,18,38
W 42 St,39,19
W 42 St,19,39
W 23 St,40,20
W 23 St,20,40
W 24 St,41,21
W 24 St,21,41
W 25 St,42,22
W 25 St,22,42
W 26 St,43,23
W 26 St,23,43
W 27 St,44,24
W 27 St,24,44
W 28 St,45,25
W 28 St,25,45
W 29 St,46,26
W 29 St,26,46
W 30 St,47,27
W 30 St,27,47
W 31 St,48,28
W 31 St,28,48
W 32 St,49,29
W 32 St,29,49
W 33 St,50,30
W 33 St,30,50
W 34 St,51,31
W 34 St,31,51
W 35 St,52,32
W 35 St,32,52
W 36 St,53,33
W 36 St,33,53
W 37 St,54,34
W 37 St,34,54
W 38 St,55,35
W 38 St,35,55
W 39 St,56,36
W 39 St,36,56
W 40 St,57,37
W 40 St,37,57
W 41 St,58,38
W 41 St,38,58
W 42 St,59,39
W 42 St,39,59
W 23 St,60,40
W 23 St,40,60
W 24 St,61,41
W 24 St,41,61
W 25 St,62,42
W 25 St,42,62
W 26 St,63,43
W 26 St,43,63
W 27 St,64,44
W 27 St,44,64
W 28 St,65,45
W 28 St,45,65
W 29 St,66,46
W 29 St,46,66
W 30 St,67,47
W 30 St,47,67
W 31 St,68,48
W 31 St,48,68
W 32 St,69,49
W 32 St,49,69
W 33 St,70,50
W 33 St,50,70
W 34 St,71,51
W 34 St,51,71
W 35 St,72,52
W 35 St,52,72
W 36 St,73,53
W 36 St,53,73
W 37 St,74,54
W 37 St,54,74
W 38 St,75,55
W 38 St,55,75
W 39 St,76,56
W 39 St,56,76
W 40 St,77,57
W 40 St,57,77
W 41 St,78,58
W 41 St,58,78
W 42 St,79,59
W 42 St,59,79
W 23 St,80,60
W 23 St,60,80
W 24 St,81,61
W 24 St,61,81
W 25 St,82,62
W 25 St,62,82
W 26 St,83,63
W 26 St,63,83
W 27 St,84,64
W 27 St,64,84
W 28 St,85,65
W 28 St,65,85
W 29 St,86,66
W 29 St,66,86
W 30 St,87,67
W 30 St,67,87
W 31 St,88,68
W 31 St,68,88
W 32 St,89,69
W 32 St,69,89
W 33 St,90,70
W 33 St,70,90
W 34 St,91,71
W 34 St,71,91
W 35 St,92,72
W 35 St,72,92
W 36 St,93,73
W 36 St,73,93
W 37 St,94,74
W 37 St,74,94
W 38 St,95,75
W 38 St,75,95
W 39 St,96,76
W 39 St,76,96
W 40 St,97,77
W 40 St,77,97
W 41 St,98,78
W 41 St,78,98
W 42 St,99,79
W 42 St,79,99
