street_name,from_junc,to_junc,avg_speed,num_cars,seg_len
10th Ave,40,41,28,29,0.75
10th Ave,41,40,28,19,0.75
9th Ave,41,42,27,15,0.74
9th Ave,42,41,20,11,0.74
9th Ave,42,43,21,14,0.71
9th Ave,43,42,29,16,0.71
9th Ave,43,44,25,29,0.73
9th Ave,44,43,23,20,0.73
9th Ave,44,45,25,13,0.75
9th Ave,45,44,25,14,0.75
9th Ave,45,46,21,12,0.75
9th Ave,46,45,26,10,0.75
9th Ave,46,47,20,12,0.75
9th Ave,47,46,23,13,0.75
9th Ave,47,48,23,29,0.74
9th Ave,48,47,25,18,0.74
9th Ave,48,49,20,26,0.66
9th Ave,49,48,30,11,0.66
9th Ave,49,50,26,15,0.72
9th Ave,50,49,20,16,0.72
9th Ave,50,51,28,11,0.68
9th Ave,51,50,20,24,0.68
9th Ave,51,52,25,28,0.73
9th Ave,52,51,20,11,0.73
9th Ave,52,53,26,17,0.68
9th Ave,53,52,24,10,0.68
9th Ave,53,54,29,19,0.74
9th Ave,54,53,28,10,0.74
9th Ave,54,55,24,14,0.68
9th Ave,55,54,30,21,0.68
9th Ave,55,56,29,12,0.75
9th Ave,56,55,21,13,0.75
9th Ave,56,57,25,22,0.73
9th Ave,57,56,25,11,0.73
9th Ave,57,58,21,25,0.74
9th Ave,58,57,23,19,0.74
9th Ave,58,59,28,29,0.72
9th Ave,59,58,29,16,0.72
9th Ave,59,60,29,16,0.72
9th Ave,60,59,26,20,0.72
9th Ave,60,61,23,11,0.72
9th Ave,61,60,26,11,0.72
8th Ave,61,62,21,11,0.72
8th Ave,62,61,29,13,0.72
8th Ave,62,63,21,23,0.73
8th Ave,63,62,29,14,0.73
8th Ave,63,64,26,12,0.66
8th Ave,64,63,22,19,0.66
8th Ave,64,65,24,18,0.68
8th Ave,65,64,27,23,0.68
8th Ave,65,66,30,26,0.72
8th Ave,66,65,20,15,0.72
8th Ave,66,67,25,17,0.7
8th Ave,67,66,25,12,0.7
8th Ave,67,68,20,18,0.7
8th Ave,68,67,23,26,0.7
8th Ave,68,69,20,10,0.72
8th Ave,69,68,28,16,0.72
8th Ave,69,70,26,27,0.67
8th Ave,70,69,23,16,0.67
8th Ave,70,71,25,27,0.75
8th Ave,71,70,24,20,0.75
8th Ave,71,72,27,15,0.73
8th Ave,72,71,29,28,0.73
8th Ave,72,73,20,24,0.72
8th Ave,73,72,29,15,0.72
8th Ave,73,74,26,15,0.74
8th Ave,74,73,26,22,0.74
8th Ave,74,75,22,27,0.7
8th Ave,75,74,25,17,0.7
8th Ave,75,76,21,20,0.73
8th Ave,76,75,30,28,0.73
8th Ave,76,77,24,22,0.7
8th Ave,77,76,21,19,0.7
8th Ave,77,78,22,15,0.75
8th Ave,78,77,25,13,0.75
8th Ave,78,79,29,18,0.7
8th Ave,79,78,26,10,0.7
8th Ave,79,80,30,27,0.72
8th Ave,80,79,27,17,0.72
8th Ave,80,81,21,16,0.65
8th Ave,81,80,26,28,0.65
7th Ave,81,82,28,28,0.68
7th Ave,82,81,26,24,0.68
7th Ave,82,83,29,26,0.67
7th Ave,83,82,26,29,0.67
7th Ave,83,84,26,21,0.72
7th Ave,84,83,24,17,0.72
7th Ave,84,85,21,20,0.69
7th Ave,85,84,20,12,0.69
7th Ave,85,86,20,13,0.66
7th Ave,86,85,21,19,0.66
7th Ave,86,87,26,12,0.68
7th Ave,87,86,30,16,0.68
7th Ave,87,88,24,22,0.7
7th Ave,88,87,25,17,0.7
7th Ave,88,89,23,17,0.68
7th Ave,89,88,22,10,0.68
7th Ave,89,90,30,16,0.73
7th Ave,90,89,20,26,0.73
7th Ave,90,91,23,25,0.66
7th Ave,91,90,28,10,0.66
7th Ave,91,92,22,13,0.65
7th Ave,92,91,30,24,0.65
7th Ave,92,93,27,10,0.72
7th Ave,93,92,26,23,0.72
7th Ave,93,94,20,25,0.67
7th Ave,94,93,30,30,0.67
7th Ave,94,95,25,17,0.75
7th Ave,95,94,22,18,0.75
7th Ave,95,96,27,12,0.65
7th Ave,96,95,25,28,0.65
7th Ave,96,97,26,11,0.74
7th Ave,97,96,27,27,0.74
7th Ave,97,98,27,24,0.7
7th Ave,98,97,23,14,0.7
7th Ave,98,99,30,17,0.73
7th Ave,99,98,20,13,0.73
W 23 St,20,0,30,25,0.72
W 23 St,0,20,30,22,0.72
W 24 St,21,1,20,10,0.74
W 24 St,1,21,25,25,0.74
W 25 St,22,2,20,11,0.7
W 25 St,2,22,23,12,0.7
W 26 St,23,3,21,18,0.75
W 26 St,3,23,21,19,0.75
W 27 St,24,4,26,26,0.73
W 27 St,4,24,21,14,0.73
W 28 St,25,5,24,10,0.74
W 28 St,5,25,24,22,0.74
W 29 St,26,6,22,20,0.75
W 29 St,6,26,23,19,0.75
W 30 St,27,7,28,29,0.68
W 30 St,7,27,25,19,0.68
W 31 St,28,8,20,14,0.74
W 31 St,8,28,25,22,0.74
W 32 St,29,9,28,18,0.74
W 32 St,9,29,29,30,0.74
W 33 St,30,10,24,22,0.74
W 33 St,10,30,30,10,0.74
W 34 St,31,11,25,15,0.72
W 34 St,11,31,23,19,0.72
W 35 St,32,12,27,25,0.72
W 35 St,12,32,24,19,0.72
W 36 St,33,13,24,21,0.75
W 36 St,13,33,23,15,0.75
W 37 St,34,14,26,23,0.66
W 37 St,14,34,25,30,0.66
W 38 St,35,15,26,20,0.73
W 38 St,15,35,23,23,0.73
W 39 St,36,16,29,13,0.68
W 39 St,16,36,25,21,0.68
W 40 St,37,17,22,11,0.66
W 40 St,17,37,25,11,0.66
W 41 St,38,18,23,11,0.67
W 41 St,18,38,20,14,0.67
W 42 St,39,19,23,13,0.72
W 42 St,19,39,24,25,0.72
W 23 St,40,20,27,28,0.67
W 23 St,20,40,21,26,0.67
W 24 St,41,21,27,18,0.74
W 24 St,21,41,21,29,0.74
W 25 St,42,22,30,12,0.72
W 25 St,22,42,30,21,0.72
W 26 St,43,23,29,15,0.69
W 26 St,23,43,22,14,0.69
W 27 St,44,24,27,20,0.7
W 27 St,24,44,23,23,0.7
W 28 St,45,25,25,17,0.74
W 28 St,25,45,24,21,0.74
W 29 St,46,26,26,22,0.73
W 29 St,26,46,26,11,0.73
W 30 St,47,27,21,10,0.74
W 30 St,27,47,27,12,0.74
W 31 St,48,28,26,24,0.69
W 31 St,28,48,28,22,0.69
W 32 St,49,29,29,18,0.66
W 32 St,29,49,22,30,0.66
W 33 St,50,30,20,30,0.72
W 33 St,30,50,20,13,0.72
W 34 St,51,31,21,25,0.66
W 34 St,31,51,25,12,0.66
W 35 St,52,32,25,22,0.68
W 35 St,32,52,25,23,0.68
W 36 St,53,33,23,25,0.69
W 36 St,33,53,24,28,0.69
W 37 St,54,34,23,12,0.72
W 37 St,34,54,23,23,0.72
W 38 St,55,35,22,20,0.71
W 38 St,35,55,29,16,0.71
W 39 St,56,36,21,26,0.67
W 39 St,36,56,27,13,0.67
W 40 St,57,37,27,28,0.67
W 40 St,37,57,30,17,0.67
W 41 St,58,38,25,16,0.72
W 41 St,38,58,29,28,0.72
W 42 St,59,39,27,13,0.72
W 42 St,39,59,27,26,0.72
W 23 St,60,40,22,24,0.75
W 23 St,40,60,22,25,0.75
W 24 St,61,41,21,16,0.67
W 24 St,41,61,20,19,0.67
W 25 St,62,42,24,25,0.71
W 25 St,42,62,24,22,0.71
W 26 St,63,43,30,13,0.74
W 26 St,43,63,25,14,0.74
W 27 St,64,44,28,26,0.73
W 27 St,44,64,20,21,0.73
W 28 St,65,45,24,20,0.72
W 28 St,45,65,25,25,0.72
W 29 St,66,46,23,17,0.69
W 29 St,46,66,27,29,0.69
W 30 St,67,47,30,23,0.66
W 30 St,47,67,20,26,0.66
W 31 St,68,48,20,25,0.66
W 31 St,48,68,29,21,0.66
W 32 St,69,49,23,25,0.66
W 32 St,49,69,23,25,0.66
W 33 St,70,50,24,20,0.71
W 33 St,50,70,26,20,0.71
W 34 St,71,51,28,16,0.72
W 34 St,51,71,24,30,0.72
W 35 St,72,52,28,28,0.66
W 35 St,52,72,25,25,0.66
W 36 St,73,53,27,24,0.67
W 36 St,53,73,28,29,0.67
W 37 St,74,54,28,22,0.72
W 37 St,54,74,27,12,0.72
W 38 St,75,55,29,27,0.68
W 38 St,55,75,22,25,0.68
W 39 St,76,56,29,20,0.73
W 39 St,56,76,26,17,0.73
W 40 St,77,57,25,28,0.74
W 40 St,57,77,22,11,0.74
W 41 St,78,58,27,25,0.67
W 41 St,58,78,26,12,0.67
W 42 St,79,59,28,29,0.71
W 42 St,59,79,21,13,0.71
W 23 St,80,60,27,17,0.69
W 23 St,60,80,23,18,0.69
W 24 St,81,61,20,24,0.67
W 24 St,61,81,26,20,0.67
W 25 St,82,62,30,23,0.75
W 25 St,62,82,28,14,0.75
W 26 St,83,63,21,20,0.68
W 26 St,63,83,24,16,0.68
W 27 St,84,64,21,15,0.73
W 27 St,64,84,28,12,0.73
W 28 St,85,65,23,16,0.71
W 28 St,65,85,26,14,0.71
W 29 St,86,66,28,14,0.69
W 29 St,66,86,26,27,0.69
W 30 St,87,67,24,18,0.67
W 30 St,67,87,30,11,0.67
W 31 St,88,68,20,19,0.69
W 31 St,68,88,23,10,0.69
W 32 St,89,69,25,23,0.72
W 32 St,69,89,27,25,0.72
W 33 St,90,70,20,24,0.71
W 33 St,70,90,28,23,0.71
W 34 St,91,71,22,13,0.72
W 34 St,71,91,20,30,0.72
W 35 St,92,72,27,16,0.68
W 35 St,72,92,24,20,0.68
W 36 St,93,73,22,27,0.65
W 36 St,73,93,23,17,0.65
W 37 St,94,74,27,28,0.65
W 37 St,74,94,27,21,0.65
W 38 St,95,75,24,14,0.73
W 38 St,75,95,30,21,0.73
W 39 St,96,76,22,19,0.72
W 39 St,76,96,29,14,0.72
W 40 St,97,77,21,16,0.65
W 40 St,77,97,25,11,0.65
W 41 St,98,78,26,28,0.69
W 41 St,78,98,20,13,0.69
W 42 St,99,79,21,15,0.71
W 42 St,79,99,27,14,0.71
